RECHNUNGSNUMMER;ART;DEBITOR;DEBITORNAME;KUNDENGRUPPE;FAKTURADATUM;LEISTUNGSDATUM;WARENAUSGANG_NR;WARENAUSGANG_DATUM;LIEFERART;BETRAG_EUR;WAEHRUNG;STORNO_REF;BUCHUNGSTEXT;BEMERKUNG
SI10063100;Rechnung;801314;KOMPAKT LOGISTIK GMBH;C-DOM;07.07.2025;07.07.2025;DN10065121;07.07.2025;Warenlieferung;2575,76;EUR;;;
SI10063101;Rechnung;800177;;;07.07.2025;07.07.2025;DN10065120;07.07.2025;Warenlieferung;9369,75;EUR;;;
SI10063102;Rechnung;801948;MAIN TECHNIK;C-DOM;07.07.2025;07.07.2025;DN10065119;07.07.2025;Warenlieferung;2951,68;EUR;;;
SI10063103;Rechnung;802839;QUARZDÄMMTECHNIK AG;C-DOM;07.07.2025;07.07.2025;DN10065118;07.07.2025;Warenlieferung;4305,42;EUR;;;
SCN0003678;Gutschrift;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;;;Gutschrift;-650,48;EUR;;;Preis-/Mengenkorrektur bzw. Vergütung
SCN0003679;Gutschrift;800002;POLARIS BAUBEDARF KG;C-DOM;08.07.2025;08.07.2025;;;Gutschrift;-415,55;EUR;;;Preis-/Mengenkorrektur bzw. Vergütung
SCN0003680;Gutschrift;800002;POLARIS BAUBEDARF KG;C-DOM;08.07.2025;08.07.2025;;;Gutschrift;-71,97;EUR;;;Preis-/Mengenkorrektur bzw. Vergütung
SCN0003681;Gutschrift;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;;;Gutschrift;-1019,59;EUR;;;Preis-/Mengenkorrektur bzw. Vergütung
SI10063104;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;08.07.2025;08.07.2025;DN0192068;08.07.2025;Warenlieferung;5895,21;EUR;;;
SI10063105;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;08.07.2025;08.07.2025;DN0192067;08.07.2025;Warenlieferung;2220,78;EUR;;;
SI10063106;Rechnung;801449;TAUNUSBETON;C-DOM;08.07.2025;08.07.2025;DN0192056;08.07.2025;Warenlieferung;14782,66;EUR;;;
SI10063107;Rechnung;800286;;;08.07.2025;08.07.2025;DN0192055;08.07.2025;Warenlieferung;1158,39;EUR;;;
SI10063108;Rechnung;801435;ALLGÄU INDUSTRIEBEDARF GMBH & CO. KG;C-DOM;08.07.2025;08.07.2025;DN0192039;08.07.2025;Warenlieferung;11707,32;EUR;;;
SI10063109;Rechnung;800086;BOREASLOGISTIK GMBH;C-IC-DOM;08.07.2025;08.07.2025;DN0192018;08.07.2025;Warenlieferung;4553,38;EUR;;;
SI10063110;Rechnung;800630;FORMA FOLIEN GMBH;C-DOM;08.07.2025;08.07.2025;DN0192017;08.07.2025;Warenlieferung;5225,41;EUR;;;
SI10063111;Rechnung;800062;HARZ ANLAGENBAU GMBH;C-DOM;08.07.2025;08.07.2025;DN0192016;08.07.2025;Warenlieferung;7419,89;EUR;;;
SI10063112;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0192015;08.07.2025;Warenlieferung;11352,60;EUR;;;
SI10063113;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191997;08.07.2025;Warenlieferung;14020,28;EUR;;;
SI10063114;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191995;08.07.2025;Warenlieferung;13146,53;EUR;;;
SI10063115;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191993;08.07.2025;Warenlieferung;9962,26;EUR;;;
SI10063116;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191976;08.07.2025;Warenlieferung;1365,55;EUR;;;
SI10063117;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191975;08.07.2025;Warenlieferung;6952,93;EUR;;;
SI10063118;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191974;08.07.2025;Warenlieferung;9356,26;EUR;;;
SI10063119;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191973;08.07.2025;Warenlieferung;15658,31;EUR;;;
SI10063120;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191960;08.07.2025;Warenlieferung;3385,20;EUR;;;
SI10063121;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191942;08.07.2025;Warenlieferung;9836,28;EUR;;;
SI10063122;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191940;08.07.2025;Warenlieferung;2798,31;EUR;;;
SI10063123;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191935;08.07.2025;Warenlieferung;3249,63;EUR;;;
SI10063124;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191934;08.07.2025;Warenlieferung;2735,76;EUR;;;
SI10063125;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191933;08.07.2025;Warenlieferung;4967,30;EUR;;;
SI10063126;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191913;08.07.2025;Warenlieferung;3358,66;EUR;;;
SI10063127;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191912;08.07.2025;Warenlieferung;6876,89;EUR;;;
SI10063128;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191911;08.07.2025;Warenlieferung;10008,50;EUR;;;
SI10063129;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191910;08.07.2025;Warenlieferung;4030,39;EUR;;;
SI10063130;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191898;08.07.2025;Warenlieferung;4780,94;EUR;;;
SI10063131;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191897;08.07.2025;Warenlieferung;3096,58;EUR;;;
SI10063132;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN0191896;08.07.2025;Warenlieferung;3465,33;EUR;;;
SI10063133;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DNP026319;08.07.2025;Warenlieferung;9704,97;EUR;;;
SI10063134;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065266;08.07.2025;Warenlieferung;8668,67;EUR;;;
SI10063135;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065265;08.07.2025;Warenlieferung;6370,06;EUR;;;
SI10063136;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065264;08.07.2025;Warenlieferung;5355,00;EUR;;;
SI10063137;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065263;08.07.2025;Warenlieferung;9767,52;EUR;;;
SI10063138;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065262;08.07.2025;Warenlieferung;9950,02;EUR;;;
SI10063139;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065261;08.07.2025;Warenlieferung;3191,58;EUR;;;
SI10063140;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065260;08.07.2025;Warenlieferung;2105,82;EUR;;;
SI10063141;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065259;08.07.2025;Warenlieferung;5896,34;EUR;;;
SI10063142;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065258;08.07.2025;Warenlieferung;6472,16;EUR;;;
SI10063143;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065257;08.07.2025;Warenlieferung;594,41;EUR;;;
SI10063144;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065256;08.07.2025;Warenlieferung;3641,40;EUR;;;
SI10063145;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065255;08.07.2025;Warenlieferung;3896,58;EUR;;;
SI10063146;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065254;08.07.2025;Warenlieferung;391,72;EUR;;;
SI10063147;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065253;08.07.2025;Warenlieferung;2899,79;EUR;;;
SI10063148;Rechnung;800004;SÜD PANEELE KG;C-DOM;08.07.2025;08.07.2025;DN10065252;08.07.2025;Warenlieferung;2981,66;EUR;;;
SI10063149;Rechnung;800291;ALPEN TECHNIK;C-DOM;08.07.2025;08.07.2025;DN10065251;08.07.2025;Warenlieferung;3536,30;EUR;;;
SI10063150;Rechnung;800291;ALPEN TECHNIK;C-DOM;08.07.2025;08.07.2025;DN10065250;08.07.2025;Warenlieferung;4928,74;EUR;;;
SI10063151;Rechnung;800291;ALPEN TECHNIK;C-DOM;08.07.2025;08.07.2025;DN10065249;08.07.2025;Warenlieferung;2825,08;EUR;;;
SI10063152;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.07.2025;08.07.2025;DN10065248;08.07.2025;Warenlieferung;5654,88;EUR;;;
SI10063153;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.07.2025;08.07.2025;DN10065247;08.07.2025;Warenlieferung;10897,21;EUR;;;
SI10063154;Rechnung;800291;ALPEN TECHNIK;C-DOM;08.07.2025;08.07.2025;DN10065246;08.07.2025;Warenlieferung;11042,87;EUR;;;
SI10063155;Rechnung;800291;ALPEN TECHNIK;C-DOM;08.07.2025;08.07.2025;DN10065245;08.07.2025;Warenlieferung;8521,95;EUR;;;
SI10063156;Rechnung;800291;ALPEN TECHNIK;C-DOM;08.07.2025;08.07.2025;DN10065244;08.07.2025;Warenlieferung;7782,60;EUR;;;
SI10063157;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.07.2025;08.07.2025;DN10065243;08.07.2025;Warenlieferung;5082,97;EUR;;;
SI10063158;Rechnung;800291;ALPEN TECHNIK;C-DOM;08.07.2025;08.07.2025;DN10065242;08.07.2025;Warenlieferung;3292,68;EUR;;;
SI10063159;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.07.2025;08.07.2025;DN10065241;08.07.2025;Warenlieferung;6396,30;EUR;;;
SI10063160;Rechnung;800291;ALPEN TECHNIK;C-DOM;08.07.2025;08.07.2025;DN10065240;08.07.2025;Warenlieferung;8640,83;EUR;;;
SI10063161;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.07.2025;08.07.2025;DN10065239;08.07.2025;Warenlieferung;12337,06;EUR;;;
SI10063162;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.07.2025;08.07.2025;DN10065238;08.07.2025;Warenlieferung;1371,95;EUR;;;
SI10063163;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.07.2025;08.07.2025;DN10065237;08.07.2025;Warenlieferung;4569,77;EUR;;;
SI10063164;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;08.07.2025;08.07.2025;DN10065236;08.07.2025;Warenlieferung;2469,11;EUR;;;
SI10063165;Rechnung;802445;HANSE INDUSTRIEBEDARF GMBH;C-DOM;08.07.2025;08.07.2025;DN10065235;08.07.2025;Warenlieferung;4961,21;EUR;;;
SI10063166;Rechnung;802445;HANSE INDUSTRIEBEDARF GMBH;C-DOM;08.07.2025;08.07.2025;DN10065234;08.07.2025;Warenlieferung;5006,84;EUR;;;
SI10063167;Rechnung;801948;MAIN TECHNIK;C-DOM;08.07.2025;08.07.2025;DN10065233;08.07.2025;Warenlieferung;3470,04;EUR;;;
SI10063168;Rechnung;802532;WESTWERKZEUGE GMBH & CO. KG;C-DOM;08.07.2025;08.07.2025;DN10065232;08.07.2025;Warenlieferung;2606,39;EUR;;;
SCN0003682;Gutschrift;801407;WESERBAUSTOFFE GMBH & CO. KG;C-DOM;09.07.2025;09.07.2025;;;Gutschrift;-1039,60;EUR;;;Preis-/Mengenkorrektur bzw. Vergütung
SCN0003683;Gutschrift;801609;DELTAKUNSTSTOFFE GMBH;C-DOM;09.07.2025;09.07.2025;;;Gutschrift;-13450,11;EUR;;;Preis-/Mengenkorrektur bzw. Vergütung
SCN0003695;Gutschrift;802445;HANSE INDUSTRIEBEDARF GMBH;C-DOM;09.07.2025;09.07.2025;;;Gutschrift;-1856,40;EUR;;;Preis-/Mengenkorrektur bzw. Vergütung
SI10063169;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;09.07.2025;09.07.2025;DN0192252;09.07.2025;Warenlieferung;445,54;EUR;;;
SI10063170;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;09.07.2025;09.07.2025;DN0192250;09.07.2025;Warenlieferung;3904,44;EUR;;;
SI10063171;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;09.07.2025;09.07.2025;DN0192249;09.07.2025;Warenlieferung;2297,25;EUR;;;
SI10063172;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;09.07.2025;09.07.2025;DN0192243;09.07.2025;Warenlieferung;3874,45;EUR;;;
SI10063173;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;09.07.2025;09.07.2025;DN0192242;09.07.2025;Warenlieferung;2695,49;EUR;;;
SI10063174;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;09.07.2025;09.07.2025;DN0192241;09.07.2025;Warenlieferung;4447,39;EUR;;;
SI10063175;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;09.07.2025;09.07.2025;DN0192238;09.07.2025;Warenlieferung;2717,77;EUR;;;
SI10063176;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;09.07.2025;09.07.2025;DN0192226;09.07.2025;Warenlieferung;4544,68;EUR;;;
SI10063177;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;09.07.2025;09.07.2025;DN0192225;09.07.2025;Warenlieferung;8996,40;EUR;;;
SI10063178;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;09.07.2025;09.07.2025;DN0192202;09.07.2025;Warenlieferung;3609,81;EUR;;;
SI10063179;Rechnung;802106;WESER GEBÄUDETECHNIK GMBH;C-IC-DOM;09.07.2025;09.07.2025;DN0192200;09.07.2025;Warenlieferung;12187,12;EUR;;;
SI10063180;Rechnung;801286;PRIMUSLOGISTIK GMBH & CO. KG;C-DOM;09.07.2025;09.07.2025;DN0192198;09.07.2025;Warenlieferung;3730,08;EUR;;;
SI10063181;Rechnung;801435;ALLGÄU INDUSTRIEBEDARF GMBH & CO. KG;C-DOM;09.07.2025;09.07.2025;DN0192154;09.07.2025;Warenlieferung;11862,91;EUR;;;
SI10063182;Rechnung;800186;KORUND ELEKTRO GMBH;C-DOM;09.07.2025;09.07.2025;DN0192153;09.07.2025;Warenlieferung;5250,33;EUR;;;
SI10063183;Rechnung;800055;ALLGÄURECYCLING;C-DOM;09.07.2025;09.07.2025;DN0192152;09.07.2025;Warenlieferung;5601,12;EUR;;;
SI10063184;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN0192150;09.07.2025;Warenlieferung;4590,73;EUR;;;
SI10063185;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN0192149;09.07.2025;Warenlieferung;2998,80;EUR;;;
SI10063186;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN0192144;09.07.2025;Warenlieferung;3891,30;EUR;;;
SI10063187;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN0192143;09.07.2025;Warenlieferung;544,28;EUR;;;
SI10063188;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN0192142;09.07.2025;Warenlieferung;13880,16;EUR;;;
SI10063189;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN0192135;09.07.2025;Warenlieferung;5886,43;EUR;;;
SI10063190;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN0192129;09.07.2025;Warenlieferung;5235,90;EUR;;;
SI10063191;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN0192124;09.07.2025;Warenlieferung;2948,20;EUR;;;
SI10063192;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN0192119;09.07.2025;Warenlieferung;933,91;EUR;;;
SI10063193;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN0192118;09.07.2025;Warenlieferung;4729,54;EUR;;;
SI10063194;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DNP026368;09.07.2025;Warenlieferung;3712,80;EUR;;;
SI10063195;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN0192099;09.07.2025;Warenlieferung;2724,62;EUR;;;
SI10063196;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN0192098;09.07.2025;Warenlieferung;5179,36;EUR;;;
SI10063197;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN0192097;09.07.2025;Warenlieferung;3560,00;EUR;;;
SI10063198;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN0192096;09.07.2025;Warenlieferung;2613,24;EUR;;;
SI10063199;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN0192095;09.07.2025;Warenlieferung;5644,88;EUR;;;
SI10063200;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN0192091;09.07.2025;Warenlieferung;10345,86;EUR;;;
SI10063201;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065358;09.07.2025;Warenlieferung;7782,60;EUR;;;
SI10063202;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN10065357;09.07.2025;Warenlieferung;3314,39;EUR;;;
SI10063203;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065356;09.07.2025;Warenlieferung;4733,61;EUR;;;
SI10063204;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN10065355;09.07.2025;Warenlieferung;4712,40;EUR;;;
SI10063205;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN10065354;09.07.2025;Warenlieferung;4433,94;EUR;;;
SI10063206;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065353;09.07.2025;Warenlieferung;4669,56;EUR;;;
SI10063207;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065351;09.07.2025;Warenlieferung;6272,85;EUR;;;
SI10063208;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065350;09.07.2025;Warenlieferung;10273,17;EUR;;;
SI10063209;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065349;09.07.2025;Warenlieferung;8161,02;EUR;;;
SI10063210;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065348;09.07.2025;Warenlieferung;2778,39;EUR;;;
SI10063211;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN10065347;09.07.2025;Warenlieferung;8957,09;EUR;;;
SI10063212;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN10065346;09.07.2025;Warenlieferung;5372,78;EUR;;;
SI10063213;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065345;09.07.2025;Warenlieferung;6005,74;EUR;;;
SI10063214;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065344;09.07.2025;Warenlieferung;9801,79;EUR;;;
SI10063215;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065343;09.07.2025;Warenlieferung;8989,76;EUR;;;
SI10063216;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065342;09.07.2025;Warenlieferung;5129,23;EUR;;;
SI10063217;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN10065341;09.07.2025;Warenlieferung;7132,86;EUR;;;
SI10063218;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN10065340;09.07.2025;Warenlieferung;4065,52;EUR;;;
SI10063219;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN10065339;09.07.2025;Warenlieferung;4129,78;EUR;;;
SI10063220;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065338;09.07.2025;Warenlieferung;5449,25;EUR;;;
SI10063221;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065337;09.07.2025;Warenlieferung;6109,84;EUR;;;
SI10063222;Rechnung;800291;ALPEN TECHNIK;C-DOM;09.07.2025;09.07.2025;DN10065336;09.07.2025;Warenlieferung;4138,34;EUR;;;
SI10063223;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN10065335;09.07.2025;Warenlieferung;2857,49;EUR;;;
SI10063224;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN10065334;09.07.2025;Warenlieferung;4596,87;EUR;;;
SI10063225;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;09.07.2025;09.07.2025;DN10065333;09.07.2025;Warenlieferung;1662,35;EUR;;;
SI10063226;Rechnung;800630;FORMA FOLIEN GMBH;C-DOM;09.07.2025;09.07.2025;DN10065332;09.07.2025;Warenlieferung;3027,74;EUR;;;
SI10063227;Rechnung;801407;WESERBAUSTOFFE GMBH & CO. KG;C-DOM;09.07.2025;09.07.2025;;;Storno/Neuberechnung;112,91;EUR;SCN0003675;;Stornopaar mit SCN0003675, erlösneutral, kein Warenausgang
SI10063228;Rechnung;801609;DELTAKUNSTSTOFFE GMBH;C-DOM;09.07.2025;09.07.2025;;;Storno/Neuberechnung;38465,12;EUR;SCN0003629;;Stornopaar mit SCN0003629, erlösneutral, kein Warenausgang
SI10063229;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065331;09.07.2025;Warenlieferung;19329,41;EUR;;;
SI10063230;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065330;09.07.2025;Warenlieferung;6473,55;EUR;;;
SI10063231;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065328;09.07.2025;Warenlieferung;5072,26;EUR;;;
SI10063232;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065327;09.07.2025;Warenlieferung;9545,82;EUR;;;
SI10063233;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065326;09.07.2025;Warenlieferung;1782,14;EUR;;;
SI10063234;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065325;09.07.2025;Warenlieferung;3720,65;EUR;;;
SI10063235;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065324;09.07.2025;Warenlieferung;7319,86;EUR;;;
SI10063236;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065323;09.07.2025;Warenlieferung;435,68;EUR;;;
SI10063237;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065322;09.07.2025;Warenlieferung;2891,70;EUR;;;
SI10063238;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065321;09.07.2025;Warenlieferung;7665,50;EUR;;;
SI10063239;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065320;09.07.2025;Warenlieferung;390,97;EUR;;;
SI10063240;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065319;09.07.2025;Warenlieferung;3110,83;EUR;;;
SI10063241;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065318;09.07.2025;Warenlieferung;2901,84;EUR;;;
SI10063242;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065317;09.07.2025;Warenlieferung;10487,23;EUR;;;
SI10063243;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065316;09.07.2025;Warenlieferung;11524,67;EUR;;;
SI10063244;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065315;09.07.2025;Warenlieferung;11605,64;EUR;;;
SI10063245;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065314;09.07.2025;Warenlieferung;12416,75;EUR;;;
SI10063246;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065313;09.07.2025;Warenlieferung;2613,24;EUR;;;
SI10063247;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065312;09.07.2025;Warenlieferung;21385,73;EUR;;;
SI10063248;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065311;09.07.2025;Warenlieferung;2760,61;EUR;;;
SI10063249;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065310;09.07.2025;Warenlieferung;4729,54;EUR;;;
SI10063250;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065309;09.07.2025;Warenlieferung;2390,47;EUR;;;
SI10063251;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065308;09.07.2025;Warenlieferung;5955,94;EUR;;;
SI10063252;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065307;09.07.2025;Warenlieferung;3780,31;EUR;;;
SI10063253;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065306;09.07.2025;Warenlieferung;3020,22;EUR;;;
SI10063254;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065305;09.07.2025;Warenlieferung;3030,50;EUR;;;
SI10063255;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065304;09.07.2025;Warenlieferung;856,80;EUR;;;
SI10063256;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065303;09.07.2025;Warenlieferung;9577,95;EUR;;;
SI10063257;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065302;09.07.2025;Warenlieferung;1336,61;EUR;;;
SI10063258;Rechnung;800004;SÜD PANEELE KG;C-DOM;09.07.2025;09.07.2025;DN10065301;09.07.2025;Warenlieferung;6835,34;EUR;;;
