WARENAUSGANG_NR;WARENAUSGANG_DATUM;RECHNUNGSNUMMER;DEBITOR;DEBITORNAME;BETRAG_EUR;LAGERORT
DN10066699;30.07.2025;SI10064573;800002;POLARIS BAUBEDARF KG;2656,08;Werk Musterstadt
DN10066698;30.07.2025;SI10064574;800002;POLARIS BAUBEDARF KG;10678,30;Werk Musterstadt
DN10066697;30.07.2025;SI10064575;800002;POLARIS BAUBEDARF KG;3352,44;Werk Musterstadt
DN10066696;30.07.2025;SI10064576;800002;POLARIS BAUBEDARF KG;6486,40;Werk Musterstadt
DN10066695;30.07.2025;SI10064577;800002;POLARIS BAUBEDARF KG;3502,98;Werk Musterstadt
DN10066694;30.07.2025;SI10064578;800291;ALPEN TECHNIK;3966,98;Werk Musterstadt
DN10066693;30.07.2025;SI10064579;800291;ALPEN TECHNIK;5753,41;Werk Musterstadt
DN10066692;30.07.2025;SI10064580;800291;ALPEN TECHNIK;2867,60;Werk Musterstadt
DN10066691;30.07.2025;SI10064581;800291;ALPEN TECHNIK;10997,03;Werk Musterstadt
DN10066690;30.07.2025;SI10064582;800630;FORMA FOLIEN GMBH;5140,80;Werk Musterstadt
DN10066689;30.07.2025;SI10064583;800181;HANSE GEBÄUDETECHNIK GMBH;3930,68;Werk Musterstadt
DN10066687;30.07.2025;SI10064584;800181;HANSE GEBÄUDETECHNIK GMBH;2354,77;Werk Musterstadt
DN10066686;30.07.2025;SI10064585;800181;HANSE GEBÄUDETECHNIK GMBH;7282,80;Werk Musterstadt
DN10066685;30.07.2025;SI10064586;800181;HANSE GEBÄUDETECHNIK GMBH;2895,56;Werk Musterstadt
DN10066684;30.07.2025;SI10064587;800004;SÜD PANEELE KG;1790,63;Werk Musterstadt
DN10066683;30.07.2025;SI10064588;803050;FOKUS PLATTEN GMBH;11104,13;Werk Musterstadt
DN10066682;30.07.2025;SI10064589;800292;ARGUSBAUSTOFFE GMBH & CO. KG;19236,59;Werk Musterstadt
DN10066681;30.07.2025;SI10064590;801037;SILVA INDUSTRIEBEDARF GMBH;11859,18;Werk Musterstadt
DN10066680;30.07.2025;SI10064591;800247;KIESEL AKUSTIKBAU;6446,56;Werk Musterstadt
DN10066679;30.07.2025;SI10064592;800210;BASALTTIEFBAU GMBH & CO. KG;4146,48;Werk Musterstadt
DN10066677;30.07.2025;SI10064593;801199;PRISMA VERPACKUNG GMBH & CO. KG;1705,57;Werk Musterstadt
DN10066676;30.07.2025;SI10064594;800210;BASALTTIEFBAU GMBH & CO. KG;3655,89;Werk Musterstadt
DN10066675;30.07.2025;SI10064595;801992;ROBURSPEDITION GMBH;2456,16;Werk Musterstadt
DNP026994;31.07.2025;SI10064596;802445;HANSE INDUSTRIEBEDARF GMBH;10030,03;Werk Musterstadt
DN0195240;31.07.2025;SI10064597;802445;HANSE INDUSTRIEBEDARF GMBH;4433,42;Werk Musterstadt
DN0195239;31.07.2025;SI10064598;802445;HANSE INDUSTRIEBEDARF GMBH;4555,58;Werk Musterstadt
DN0195238;31.07.2025;SI10064599;801071;FORMA PLATTEN GMBH;8739,36;Werk Musterstadt
DN0195227;31.07.2025;SI10064600;801071;FORMA PLATTEN GMBH;5522,79;Werk Musterstadt
DN0195219;31.07.2025;SI10064601;800603;TAUNUS TROCKENBAU BV;2993,76;Werk Musterstadt
DN0195218;31.07.2025;SI10064602;802994;POLARIS GEBÄUDETECHNIK GMBH & CO. KG;8663,56;Werk Musterstadt
DN0195209;31.07.2025;SI10064603;800630;FORMA FOLIEN GMBH;3962,70;Werk Musterstadt
DN0195208;31.07.2025;SI10064604;800630;FORMA FOLIEN GMBH;3962,70;Werk Musterstadt
DN0195207;31.07.2025;SI10064605;800630;FORMA FOLIEN GMBH;3104,12;Werk Musterstadt
DN0195206;31.07.2025;SI10064606;800189;FOKUS MONTAGE MBH;8038,50;Werk Musterstadt
DN0195188;31.07.2025;SI10064607;800189;FOKUS MONTAGE MBH;7322,11;Werk Musterstadt
DN0195187;31.07.2025;SI10064608;800170;KOMPAKTPROFILE GMBH & CO. KG;5409,41;Werk Musterstadt
DN0195177;31.07.2025;SI10064609;800050;KORUND LOGISTIK;8944,99;Werk Musterstadt
DN0194941;31.07.2025;SI10064610;800062;HARZ ANLAGENBAU GMBH;7187,62;Werk Musterstadt
DN0195165;31.07.2025;SI10064611;800186;KORUND ELEKTRO GMBH;6718,10;Werk Musterstadt
DN0195164;31.07.2025;SI10064612;800186;KORUND ELEKTRO GMBH;3591,28;Werk Musterstadt
DN0195163;31.07.2025;SI10064613;800050;KORUND LOGISTIK;7454,16;Werk Musterstadt
DN0195149;31.07.2025;SI10064614;800186;KORUND ELEKTRO GMBH;2213,11;Werk Musterstadt
DN0195119;31.07.2025;SI10064615;800630;FORMA FOLIEN GMBH;3197,43;Werk Musterstadt
DN0195118;31.07.2025;SI10064616;801071;FORMA PLATTEN GMBH;9056,80;Werk Musterstadt
DN10066840;31.07.2025;SI10064617;801071;FORMA PLATTEN GMBH;8721,69;Werk Musterstadt
DN10066838;31.07.2025;SI10064618;800181;HANSE GEBÄUDETECHNIK GMBH;5597,69;Werk Musterstadt
DN10066837;31.07.2025;SI10064619;800181;HANSE GEBÄUDETECHNIK GMBH;3513,48;Werk Musterstadt
DN10066836;31.07.2025;SI10064620;800181;HANSE GEBÄUDETECHNIK GMBH;4023,10;Werk Musterstadt
DN10066835;31.07.2025;SI10064621;800181;HANSE GEBÄUDETECHNIK GMBH;2771,32;Werk Musterstadt
DN10066834;31.07.2025;SI10064622;800181;HANSE GEBÄUDETECHNIK GMBH;2732,48;Werk Musterstadt
DN10066833;31.07.2025;SI10064623;800181;HANSE GEBÄUDETECHNIK GMBH;3072,06;Werk Musterstadt
DN10066832;31.07.2025;SI10064624;800181;HANSE GEBÄUDETECHNIK GMBH;4227,45;Werk Musterstadt
DN10066831;31.07.2025;SI10064625;800181;HANSE GEBÄUDETECHNIK GMBH;2080,95;Werk Musterstadt
DN10066830;31.07.2025;SI10064626;800181;HANSE GEBÄUDETECHNIK GMBH;2868,14;Werk Musterstadt
DN10066829;31.07.2025;SI10064627;800181;HANSE GEBÄUDETECHNIK GMBH;3879,73;Werk Musterstadt
DN10066828;31.07.2025;SI10064628;800181;HANSE GEBÄUDETECHNIK GMBH;4472,50;Werk Musterstadt
DN10066827;31.07.2025;SI10064629;800004;SÜD PANEELE KG;10692,86;Werk Musterstadt
DN10066826;31.07.2025;SI10064630;800004;SÜD PANEELE KG;9109,71;Werk Musterstadt
DN10066825;31.07.2025;SI10064631;800004;SÜD PANEELE KG;10372,99;Werk Musterstadt
DN10066824;31.07.2025;SI10064632;800004;SÜD PANEELE KG;2812,45;Werk Musterstadt
DN10066823;31.07.2025;SI10064633;800004;SÜD PANEELE KG;2329,32;Werk Musterstadt
DN10066822;31.07.2025;SI10064634;800004;SÜD PANEELE KG;10912,78;Werk Musterstadt
DN10066821;31.07.2025;SI10064635;800004;SÜD PANEELE KG;2367,98;Werk Musterstadt
DN10066820;31.07.2025;SI10064636;800004;SÜD PANEELE KG;6027,50;Werk Musterstadt
DN10066819;31.07.2025;SI10064637;800004;SÜD PANEELE KG;8495,17;Werk Musterstadt
DN10066818;31.07.2025;SI10064638;800004;SÜD PANEELE KG;3300,39;Werk Musterstadt
DN10066817;31.07.2025;SI10064639;800004;SÜD PANEELE KG;10075,97;Werk Musterstadt
DN10066816;31.07.2025;SI10064640;800004;SÜD PANEELE KG;9807,50;Werk Musterstadt
DN10066815;31.07.2025;SI10064641;800004;SÜD PANEELE KG;7453,73;Werk Musterstadt
DN10066814;31.07.2025;SI10064642;800004;SÜD PANEELE KG;2120,58;Werk Musterstadt
DN10066813;31.07.2025;SI10064643;800004;SÜD PANEELE KG;445,54;Werk Musterstadt
DN10066812;31.07.2025;SI10064644;800004;SÜD PANEELE KG;2501,86;Werk Musterstadt
DN10066811;31.07.2025;SI10064645;800004;SÜD PANEELE KG;3279,62;Werk Musterstadt
DN10066810;31.07.2025;SI10064646;800004;SÜD PANEELE KG;3020,22;Werk Musterstadt
DN10066809;31.07.2025;SI10064647;800004;SÜD PANEELE KG;2224,47;Werk Musterstadt
DN10066808;31.07.2025;SI10064648;800004;SÜD PANEELE KG;2206,26;Werk Musterstadt
DN10066807;31.07.2025;SI10064649;800004;SÜD PANEELE KG;4287,32;Werk Musterstadt
DN10066806;31.07.2025;SI10064650;800004;SÜD PANEELE KG;9870,34;Werk Musterstadt
DN10066805;31.07.2025;SI10064651;800004;SÜD PANEELE KG;9993,72;Werk Musterstadt
DN10066804;31.07.2025;SI10064652;800004;SÜD PANEELE KG;4802,79;Werk Musterstadt
DN10066803;31.07.2025;SI10064653;800004;SÜD PANEELE KG;8803,62;Werk Musterstadt
DN10066802;31.07.2025;SI10064654;800004;SÜD PANEELE KG;5140,80;Werk Musterstadt
DN10066801;31.07.2025;SI10064655;800004;SÜD PANEELE KG;10898,50;Werk Musterstadt
DN10066800;31.07.2025;SI10064656;800004;SÜD PANEELE KG;3675,67;Werk Musterstadt
DN10066799;31.07.2025;SI10064657;800004;SÜD PANEELE KG;3018,08;Werk Musterstadt
DN10066798;31.07.2025;SI10064658;800004;SÜD PANEELE KG;3971,27;Werk Musterstadt
DN10066797;31.07.2025;SI10064659;800004;SÜD PANEELE KG;4996,00;Werk Musterstadt
DN10066796;31.07.2025;SI10064660;800004;SÜD PANEELE KG;4716,26;Werk Musterstadt
DN10066795;31.07.2025;SI10064661;800004;SÜD PANEELE KG;2695,49;Werk Musterstadt
DN10066794;31.07.2025;SI10064662;800004;SÜD PANEELE KG;10870,65;Werk Musterstadt
DN10066793;31.07.2025;SI10064663;800004;SÜD PANEELE KG;1285,20;Werk Musterstadt
DN10066792;31.07.2025;SI10064664;800004;SÜD PANEELE KG;3865,38;Werk Musterstadt
DN10066791;31.07.2025;SI10064665;800004;SÜD PANEELE KG;9913,68;Werk Musterstadt
DN10066790;31.07.2025;SI10064666;800004;SÜD PANEELE KG;5037,98;Werk Musterstadt
DN10066789;31.07.2025;SI10064667;800004;SÜD PANEELE KG;3166,30;Werk Musterstadt
DN10066788;31.07.2025;SI10064668;800004;SÜD PANEELE KG;10393,73;Werk Musterstadt
DN10066787;31.07.2025;SI10064669;800004;SÜD PANEELE KG;2909,69;Werk Musterstadt
DN10066786;31.07.2025;SI10064670;800004;SÜD PANEELE KG;2598,96;Werk Musterstadt
DN10066785;31.07.2025;SI10064671;800004;SÜD PANEELE KG;5376,37;Werk Musterstadt
DN10066784;31.07.2025;SI10064672;800004;SÜD PANEELE KG;9459,07;Werk Musterstadt
DN10066783;31.07.2025;SI10064673;800004;SÜD PANEELE KG;9235,02;Werk Musterstadt
DN10066782;31.07.2025;SI10064674;800004;SÜD PANEELE KG;9528,19;Werk Musterstadt
DN10066781;31.07.2025;SI10064675;800004;SÜD PANEELE KG;5751,38;Werk Musterstadt
DN10066780;31.07.2025;SI10064676;800004;SÜD PANEELE KG;3446,67;Werk Musterstadt
DN10066779;31.07.2025;SI10064677;800004;SÜD PANEELE KG;3015,94;Werk Musterstadt
DN10066778;31.07.2025;SI10064678;800004;SÜD PANEELE KG;4853,77;Werk Musterstadt
DN10066777;31.07.2025;SI10064679;800004;SÜD PANEELE KG;10144,51;Werk Musterstadt
DN10066776;31.07.2025;SI10064680;800004;SÜD PANEELE KG;1911,83;Werk Musterstadt
DN10066775;31.07.2025;SI10064681;800004;SÜD PANEELE KG;10048,12;Werk Musterstadt
DN10066774;31.07.2025;SI10064682;800004;SÜD PANEELE KG;257,40;Werk Musterstadt
DN10066773;31.07.2025;SI10064683;800004;SÜD PANEELE KG;1765,01;Werk Musterstadt
DN10066772;31.07.2025;SI10064684;800004;SÜD PANEELE KG;6445,52;Werk Musterstadt
DN10066771;31.07.2025;SI10064685;800004;SÜD PANEELE KG;2459,02;Werk Musterstadt
DN10066770;31.07.2025;SI10064686;800004;SÜD PANEELE KG;4395,38;Werk Musterstadt
DN10066769;31.07.2025;SI10064687;800004;SÜD PANEELE KG;3448,62;Werk Musterstadt
DN10066768;31.07.2025;SI10064688;800004;SÜD PANEELE KG;4893,76;Werk Musterstadt
DN10066767;31.07.2025;SI10064689;800004;SÜD PANEELE KG;3175,73;Werk Musterstadt
DN10066766;31.07.2025;SI10064690;800004;SÜD PANEELE KG;6504,61;Werk Musterstadt
DN10066765;31.07.2025;SI10064691;800004;SÜD PANEELE KG;8042,78;Werk Musterstadt
DN10066764;31.07.2025;SI10064692;800004;SÜD PANEELE KG;3243,48;Werk Musterstadt
DN10066763;31.07.2025;SI10064693;800004;SÜD PANEELE KG;9596,16;Werk Musterstadt
DN10066762;31.07.2025;SI10064694;800004;SÜD PANEELE KG;2801,74;Werk Musterstadt
DN10066761;31.07.2025;SI10064695;800004;SÜD PANEELE KG;3842,75;Werk Musterstadt
DN10066760;31.07.2025;SI10064696;800004;SÜD PANEELE KG;2436,53;Werk Musterstadt
DN10066759;31.07.2025;SI10064697;800004;SÜD PANEELE KG;4918,75;Werk Musterstadt
DN10066758;31.07.2025;SI10064698;800004;SÜD PANEELE KG;8120,32;Werk Musterstadt
DN10066674;30.07.2025;SI10064699;800004;SÜD PANEELE KG;2698,92;Werk Musterstadt
DN10066673;30.07.2025;SI10064700;800004;SÜD PANEELE KG;4505,05;Werk Musterstadt
DN10066672;30.07.2025;SI10064701;800004;SÜD PANEELE KG;4541,04;Werk Musterstadt
DN10066671;30.07.2025;SI10064702;800004;SÜD PANEELE KG;3211,50;Werk Musterstadt
DN10066670;30.07.2025;SI10064703;800004;SÜD PANEELE KG;5617,85;Werk Musterstadt
DN10066669;30.07.2025;SI10064704;800004;SÜD PANEELE KG;4082,01;Werk Musterstadt
DN10066668;30.07.2025;SI10064705;800004;SÜD PANEELE KG;3221,00;Werk Musterstadt
DN10066667;30.07.2025;SI10064706;800004;SÜD PANEELE KG;10516,90;Werk Musterstadt
DN10066666;30.07.2025;SI10064707;800004;SÜD PANEELE KG;2788,88;Werk Musterstadt
DN10066665;30.07.2025;SI10064708;800004;SÜD PANEELE KG;9664,70;Werk Musterstadt
DN10066664;30.07.2025;SI10064709;800004;SÜD PANEELE KG;3290,11;Werk Musterstadt
DN10066663;30.07.2025;SI10064710;800004;SÜD PANEELE KG;3317,96;Werk Musterstadt
DN10066662;30.07.2025;SI10064711;800004;SÜD PANEELE KG;2496,72;Werk Musterstadt
DN10066661;30.07.2025;SI10064712;800004;SÜD PANEELE KG;2435,88;Werk Musterstadt
DN10066660;30.07.2025;SI10064713;800004;SÜD PANEELE KG;951,05;Werk Musterstadt
DN10066659;30.07.2025;SI10064714;800004;SÜD PANEELE KG;5847,66;Werk Musterstadt
DN10066658;30.07.2025;SI10064715;800004;SÜD PANEELE KG;11152,54;Werk Musterstadt
DN10066657;30.07.2025;SI10064716;800004;SÜD PANEELE KG;2698,92;Werk Musterstadt
DN10066656;30.07.2025;SI10064717;800004;SÜD PANEELE KG;3543,94;Werk Musterstadt
DN10066655;30.07.2025;SI10064718;800004;SÜD PANEELE KG;2885,99;Werk Musterstadt
DN10066654;30.07.2025;SI10064719;800004;SÜD PANEELE KG;5731,99;Werk Musterstadt
DN10066653;30.07.2025;SI10064720;800004;SÜD PANEELE KG;3826,47;Werk Musterstadt
DN10066652;30.07.2025;SI10064721;800004;SÜD PANEELE KG;2135,15;Werk Musterstadt
DN10066651;30.07.2025;SI10064722;800004;SÜD PANEELE KG;4162,62;Werk Musterstadt
DN10066650;30.07.2025;SI10064723;800004;SÜD PANEELE KG;2176,63;Werk Musterstadt
DN10066649;30.07.2025;SI10064724;800004;SÜD PANEELE KG;3667,10;Werk Musterstadt
DN10066648;30.07.2025;SI10064725;800004;SÜD PANEELE KG;7004,34;Werk Musterstadt
DN10066646;30.07.2025;SI10064726;800004;SÜD PANEELE KG;3924,86;Werk Musterstadt
DN10066604;29.07.2025;SI10064727;800004;SÜD PANEELE KG;2658,46;Werk Musterstadt
DN10066603;29.07.2025;SI10064728;800004;SÜD PANEELE KG;2750,33;Werk Musterstadt
DN10066602;29.07.2025;SI10064729;800004;SÜD PANEELE KG;2279,09;Werk Musterstadt
DN10066600;29.07.2025;SI10064730;800004;SÜD PANEELE KG;5026,20;Werk Musterstadt
DN10066599;29.07.2025;SI10064731;800004;SÜD PANEELE KG;5368,71;Werk Musterstadt
DN10066598;29.07.2025;SI10064732;800004;SÜD PANEELE KG;10778,76;Werk Musterstadt
DN10066597;29.07.2025;SI10064733;800004;SÜD PANEELE KG;334,15;Werk Musterstadt
DN10066596;29.07.2025;SI10064734;800004;SÜD PANEELE KG;5695,01;Werk Musterstadt
DN10066595;29.07.2025;SI10064735;800004;SÜD PANEELE KG;3752,78;Werk Musterstadt
DN10066594;29.07.2025;SI10064736;800004;SÜD PANEELE KG;2264,84;Werk Musterstadt
DN10066593;29.07.2025;SI10064737;800004;SÜD PANEELE KG;4832,35;Werk Musterstadt
DN10066592;29.07.2025;SI10064738;800004;SÜD PANEELE KG;10242,33;Werk Musterstadt
DN10066591;29.07.2025;SI10064739;800170;KOMPAKTPROFILE GMBH & CO. KG;6338,89;Werk Musterstadt
DN10066590;29.07.2025;SI10064740;802380;SOLIDGEBÄUDETECHNIK B.V.;7737,66;Werk Musterstadt
DN10066589;29.07.2025;SI10064741;800055;ALLGÄURECYCLING;7641,80;Werk Musterstadt
DN10066588;29.07.2025;SI10064742;800768;SILVAGERÜSTBAU GMBH;5851,94;Werk Musterstadt
DN10066587;29.07.2025;SI10064743;801071;FORMA PLATTEN GMBH;8726,94;Werk Musterstadt
DN10066586;29.07.2025;SI10064744;800062;HARZ ANLAGENBAU GMBH;7248,53;Werk Musterstadt
DN10066585;29.07.2025;SI10064745;801071;FORMA PLATTEN GMBH;2593,43;Werk Musterstadt
DN10066584;29.07.2025;SI10064746;801839;MAIN FOLIEN GMBH;4455,36;Werk Musterstadt
DN10066583;29.07.2025;SI10064747;801071;FORMA PLATTEN GMBH;4005,54;Werk Musterstadt
DN10066582;29.07.2025;SI10064748;800291;ALPEN TECHNIK;8499,10;Werk Musterstadt
DN10066581;29.07.2025;SI10064749;800291;ALPEN TECHNIK;8736,36;Werk Musterstadt
DN10066580;29.07.2025;SI10064750;800291;ALPEN TECHNIK;3597,13;Werk Musterstadt
DN10066579;29.07.2025;SI10064751;800291;ALPEN TECHNIK;7073,85;Werk Musterstadt
DN10066578;29.07.2025;SI10064752;800291;ALPEN TECHNIK;2800,31;Werk Musterstadt
DN10066577;29.07.2025;SI10064753;800291;ALPEN TECHNIK;6120,48;Werk Musterstadt
DN10066576;29.07.2025;SI10064754;800291;ALPEN TECHNIK;10602,04;Werk Musterstadt
DN10066575;29.07.2025;SI10064755;800291;ALPEN TECHNIK;2336,07;Werk Musterstadt
DN10066574;29.07.2025;SI10064756;800291;ALPEN TECHNIK;3201,43;Werk Musterstadt
DN10066573;29.07.2025;SI10064757;800291;ALPEN TECHNIK;5423,97;Werk Musterstadt
DN10066572;29.07.2025;SI10064758;800291;ALPEN TECHNIK;3288,40;Werk Musterstadt
DN10066571;29.07.2025;SI10064759;800291;ALPEN TECHNIK;4177,76;Werk Musterstadt
DN10066570;29.07.2025;SI10064760;800291;ALPEN TECHNIK;1516,54;Werk Musterstadt
DN10066569;29.07.2025;SI10064761;800291;ALPEN TECHNIK;10770,40;Werk Musterstadt
DN10066568;29.07.2025;SI10064762;800291;ALPEN TECHNIK;9990,29;Werk Musterstadt
DN10066567;29.07.2025;SI10064763;800291;ALPEN TECHNIK;10319,73;Werk Musterstadt
DN10066566;29.07.2025;SI10064764;800291;ALPEN TECHNIK;3178,73;Werk Musterstadt
DN10066565;29.07.2025;SI10064765;800291;ALPEN TECHNIK;2790,17;Werk Musterstadt
DN10066564;29.07.2025;SI10064766;800291;ALPEN TECHNIK;6357,46;Werk Musterstadt
DN10066563;29.07.2025;SI10064767;800291;ALPEN TECHNIK;2812,87;Werk Musterstadt
DN10066562;29.07.2025;SI10064768;800291;ALPEN TECHNIK;3224,14;Werk Musterstadt
DN10066561;29.07.2025;SI10064769;800291;ALPEN TECHNIK;10144,08;Werk Musterstadt
DN10066560;29.07.2025;SI10064770;800291;ALPEN TECHNIK;2792,74;Werk Musterstadt
DN10066559;29.07.2025;SI10064771;800291;ALPEN TECHNIK;10523,65;Werk Musterstadt
DN10066558;29.07.2025;SI10064772;800291;ALPEN TECHNIK;2747,33;Werk Musterstadt
DN10066557;29.07.2025;SI10064773;800291;ALPEN TECHNIK;3741,22;Werk Musterstadt
DN10066556;29.07.2025;SI10064774;800291;ALPEN TECHNIK;6164,46;Werk Musterstadt
DN10066555;29.07.2025;SI10064775;800291;ALPEN TECHNIK;9172,90;Werk Musterstadt
DN10066554;29.07.2025;SI10064776;800291;ALPEN TECHNIK;9148,91;Werk Musterstadt
DN10066553;29.07.2025;SI10064777;800291;ALPEN TECHNIK;7353,91;Werk Musterstadt
DN10066552;29.07.2025;SI10064778;800291;ALPEN TECHNIK;2747,33;Werk Musterstadt
DN10066551;29.07.2025;SI10064779;800291;ALPEN TECHNIK;2313,36;Werk Musterstadt
DN10066550;29.07.2025;SI10064780;800291;ALPEN TECHNIK;12011,69;Werk Musterstadt
DN10066496;28.07.2025;SI10064781;800291;ALPEN TECHNIK;3675,67;Werk Musterstadt
DN10066495;28.07.2025;SI10064782;800291;ALPEN TECHNIK;2900,59;Werk Musterstadt
DN10066494;28.07.2025;SI10064783;800291;ALPEN TECHNIK;2535,41;Werk Musterstadt
DN10066493;28.07.2025;SI10064784;800291;ALPEN TECHNIK;2922,97;Werk Musterstadt
DN10066492;28.07.2025;SI10064785;800291;ALPEN TECHNIK;5457,82;Werk Musterstadt
DN10066491;28.07.2025;SI10064786;800291;ALPEN TECHNIK;3718,51;Werk Musterstadt
DN10066490;28.07.2025;SI10064787;800291;ALPEN TECHNIK;2833,01;Werk Musterstadt
DN10066489;28.07.2025;SI10064788;800291;ALPEN TECHNIK;3201,43;Werk Musterstadt
DN10066488;28.07.2025;SI10064789;800291;ALPEN TECHNIK;5470,67;Werk Musterstadt
DN10066486;28.07.2025;SI10064790;800291;ALPEN TECHNIK;4541,04;Werk Musterstadt
DN10066485;28.07.2025;SI10064791;800291;ALPEN TECHNIK;10075,97;Werk Musterstadt
DN10066484;28.07.2025;SI10064792;800291;ALPEN TECHNIK;2554,73;Werk Musterstadt
DN10066483;28.07.2025;SI10064793;800291;ALPEN TECHNIK;4011,11;Werk Musterstadt
DN10066482;28.07.2025;SI10064794;800291;ALPEN TECHNIK;2588,39;Werk Musterstadt
DN10066481;28.07.2025;SI10064795;800291;ALPEN TECHNIK;454,10;Werk Musterstadt
DN10066480;28.07.2025;SI10064796;800291;ALPEN TECHNIK;6010,45;Werk Musterstadt
DN10066479;28.07.2025;SI10064797;800291;ALPEN TECHNIK;5197,03;Werk Musterstadt
DN10066478;28.07.2025;SI10064798;800181;HANSE GEBÄUDETECHNIK GMBH;9290,09;Werk Musterstadt
DN10066477;28.07.2025;SI10064799;800181;HANSE GEBÄUDETECHNIK GMBH;9290,09;Werk Musterstadt
DN10066476;28.07.2025;SI10064800;800181;HANSE GEBÄUDETECHNIK GMBH;9290,09;Werk Musterstadt
DN10066475;28.07.2025;SI10064801;800181;HANSE GEBÄUDETECHNIK GMBH;4997,52;Werk Musterstadt
DN10066474;28.07.2025;SI10064802;800002;POLARIS BAUBEDARF KG;7639,80;Werk Musterstadt
DN10066473;28.07.2025;SI10064803;800002;POLARIS BAUBEDARF KG;849,66;Werk Musterstadt
DN10066472;28.07.2025;SI10064804;800002;POLARIS BAUBEDARF KG;4819,50;Werk Musterstadt
DN10066471;28.07.2025;SI10064805;800002;POLARIS BAUBEDARF KG;9805,36;Werk Musterstadt
DN10066470;28.07.2025;SI10064806;800002;POLARIS BAUBEDARF KG;10961,33;Werk Musterstadt
DN10066469;28.07.2025;SI10064807;800002;POLARIS BAUBEDARF KG;10684,08;Werk Musterstadt
DN10066468;28.07.2025;SI10064808;800002;POLARIS BAUBEDARF KG;2752,90;Werk Musterstadt
DN10066467;28.07.2025;SI10064809;800002;POLARIS BAUBEDARF KG;3024,50;Werk Musterstadt
DN10066466;28.07.2025;SI10064810;800002;POLARIS BAUBEDARF KG;7507,64;Werk Musterstadt
DN10066465;28.07.2025;SI10064811;800002;POLARIS BAUBEDARF KG;8546,58;Werk Musterstadt
DN10066464;28.07.2025;SI10064812;800002;POLARIS BAUBEDARF KG;4936,22;Werk Musterstadt
DN10066463;28.07.2025;SI10064813;800002;POLARIS BAUBEDARF KG;4263,82;Werk Musterstadt
DN10066462;28.07.2025;SI10064814;800002;POLARIS BAUBEDARF KG;4549,18;Werk Musterstadt
DN10066461;28.07.2025;SI10064815;800002;POLARIS BAUBEDARF KG;10163,36;Werk Musterstadt
DN10066460;28.07.2025;SI10064816;800002;POLARIS BAUBEDARF KG;10500,08;Werk Musterstadt
DN10066459;28.07.2025;SI10064817;800002;POLARIS BAUBEDARF KG;3490,03;Werk Musterstadt
DN10066458;28.07.2025;SI10064818;800002;POLARIS BAUBEDARF KG;8503,31;Werk Musterstadt
DN10066457;28.07.2025;SI10064819;800002;POLARIS BAUBEDARF KG;9923,03;Werk Musterstadt
DN10066456;28.07.2025;SI10064820;800002;POLARIS BAUBEDARF KG;3534,30;Werk Musterstadt
DN10066455;28.07.2025;SI10064821;800002;POLARIS BAUBEDARF KG;2061,68;Werk Musterstadt
DN10066454;28.07.2025;SI10064822;800002;POLARIS BAUBEDARF KG;4819,50;Werk Musterstadt
DN10066453;28.07.2025;SI10064823;800002;POLARIS BAUBEDARF KG;2656,08;Werk Musterstadt
DN10066452;28.07.2025;SI10064824;800002;POLARIS BAUBEDARF KG;1559,38;Werk Musterstadt
DN10066365;25.07.2025;SI10064825;800002;POLARIS BAUBEDARF KG;4611,08;Werk Musterstadt
DN10066364;25.07.2025;SI10064826;800002;POLARIS BAUBEDARF KG;2672,93;Werk Musterstadt
DN10066363;25.07.2025;SI10064827;800002;POLARIS BAUBEDARF KG;2720,34;Werk Musterstadt
DN10066362;25.07.2025;SI10064828;800002;POLARIS BAUBEDARF KG;1486,19;Werk Musterstadt
DN10066361;25.07.2025;SI10064829;800002;POLARIS BAUBEDARF KG;4063,80;Werk Musterstadt
DN10066360;25.07.2025;SI10064830;800002;POLARIS BAUBEDARF KG;2747,33;Werk Musterstadt
DN10066359;25.07.2025;SI10064831;800002;POLARIS BAUBEDARF KG;13338,66;Werk Musterstadt
DN10066358;25.07.2025;SI10064832;800002;POLARIS BAUBEDARF KG;14368,54;Werk Musterstadt
DN10066357;25.07.2025;SI10064833;800002;POLARIS BAUBEDARF KG;3182,58;Werk Musterstadt
DN10066356;25.07.2025;SI10064834;800002;POLARIS BAUBEDARF KG;349,57;Werk Musterstadt
DN10066355;25.07.2025;SI10064835;800002;POLARIS BAUBEDARF KG;4176,90;Werk Musterstadt
DN10066354;25.07.2025;SI10064836;800002;POLARIS BAUBEDARF KG;3813,62;Werk Musterstadt
DN10066353;25.07.2025;SI10064837;800002;POLARIS BAUBEDARF KG;3156,67;Werk Musterstadt
DN10066280;24.07.2025;SI10064838;800002;POLARIS BAUBEDARF KG;2544,70;Werk Musterstadt
DN10066279;24.07.2025;SI10064839;800002;POLARIS BAUBEDARF KG;7884,38;Werk Musterstadt
DN10066278;24.07.2025;SI10064840;800002;POLARIS BAUBEDARF KG;2827,44;Werk Musterstadt
DN10066277;24.07.2025;SI10064841;800002;POLARIS BAUBEDARF KG;4348,26;Werk Musterstadt
DN10066276;24.07.2025;SI10064842;800002;POLARIS BAUBEDARF KG;11104,66;Werk Musterstadt
DN10066275;24.07.2025;SI10064843;800002;POLARIS BAUBEDARF KG;6554,52;Werk Musterstadt
